تحلیلگر,نام ارز,جفت ارز,تاریخ تحلیل,لینک تحلیل,Time Frame,price,TP,SL,%TP,%SL,REW/RISK,TP Risk 2%,TP(Fix V),SL Risk 2%,SL(Fix V),Fix V or Fix R,Volume (Fix R),Volume (Fix V),Entry Balance,close price,نتیجه معامله,درصد نتیجه معامله,توضیحات
Amirreza,AVAX,AVAX/USDT,1400/01/21,https://www.tradingview.com/x/1o82VBbJ/,1D,33.45,72.42,21.69,116.5022422,-35.15695067,3.338865837,6.677731674,14.484,2,4.338,Fix V,568.877551,200,1000,21.69,Hit SL❌,-35.15695067,
Amirreza,TEZOS,jh,1400/01/23,https://www.tradingview.com/x/XLmF0Cvo/,1H,6.473,7.98,6.1853,23.28132242,-4.444616098,1.290155692,2.580311383,1.596,2,1.23706,Fix R,4499.826208,200,1000,6.1853,Hit SL❌,-4.444616098,
Amirreza,UMA,UMA/USDT,1400/1/25,https://www.tradingview.com/x/CJs7oL9H/,1D,25.99,0,21.29,85.68680262,-18.08387841,2.266791921,4.533583842,9.652,2,4.258,Fix V,1105.957447,200,1000,21.29,Hit SL❌,-18.08387841,
Amirreza,THE GRAPH,GRT/USDT,1400/1/25,https://www.tradingview.com/x/zE015y26/,1D,2.08,3.33,1.63,60.09615385,-21.63461538,2.042944785,4.085889571,0.666,2,0.326,Fix R,924.4444444,200,1000,1.63,Hit SL❌,-21.63461538,
Amirreza,CAKE,CAKE/USDT,1400/1/28,https://www.tradingview.com/x/CnIOUhzw/,4H,gh,39.9,20.68,85.68680262,-18.08387841,2.266791921,4.533583842,9.652,2,4.258,Fix V,1105.957447,200,1000,20.68,Hit SL❌,-13.83333333,
